bc/batch,batch_size,bc/prob_true_act,bc/samples_so_far,bc/entropy,bc/l2_loss,bc/epoch,bc/l2_norm,bc/loss,bc/neglogp,bc/ent_loss
659,2048,0.5326546292518275,1351680,1.5047239065170288,0.0,60,1331.6685791015625,0.6611136036215401,0.6626183276519231,-0.0015047240303829312
670,2048,0.5548707556952474,1374208,1.4833004474639893,0.0,61,1349.9727783203125,0.6118182095569118,0.6133015100248649,-0.001483300467953086
681,2048,0.5653247574742508,1396736,1.4618113040924072,0.0,62,1368.4420166015625,0.5950453274155179,0.5965071387792149,-0.001461811363697052
692,2048,0.5786105975851272,1419264,1.4402925968170166,0.0,63,1387.4659423828125,0.5656567022774289,0.5670969949673782,-0.001440292689949274
703,2048,0.5829489547784953,1441792,1.4186501502990723,0.0,64,1405.3240966796875,0.5631584983797637,0.5645771486464781,-0.001418650266714394
714,2048,0.5979194715950971,1464320,1.3971662521362305,0.0,65,1425.237548828125,0.5359186282506427,0.5373157945353753,-0.0013971662847325206
725,2048,0.6117288957358348,1486848,1.375812292098999,0.0,66,1444.65869140625,0.5130824092415635,0.5144582215802286,-0.0013758123386651278
736,2048,0.624682764871931,1509376,1.3543530702590942,0.0,67,1463.1431884765625,0.49262437969384865,0.49397873284699545,-0.0013543531531468034
747,2048,0.6474426538549163,1531904,1.332765817642212,0.0,68,1481.8472900390625,0.45635294814295796,0.45768571405373243,-0.0013327659107744694
758,2048,0.6640622713054921,1554432,1.3110830783843994,0.0,69,1499.7255859375,0.4290615461375183,0.4303726292289412,-0.0013110830914229155
769,2048,0.6637409450299524,1576960,1.2893726825714111,0.0,70,1518.934814453125,0.44010513522804534,0.44139450802610075,-0.0012893727980554104
780,2048,0.6781951437104858,1599488,1.2678136825561523,0.0,71,1538.564697265625,0.414680392525717,0.41594820625390794,-0.0012678137281909585
791,2048,0.6992133052944383,1622016,1.2463469505310059,0.0,72,1557.1641845703125,0.3847535472607745,0.3859998942364512,-0.0012463469756767154
802,2048,0.7143443538101736,1644544,1.2248315811157227,0.0,73,1575.2601318359375,0.35676225960458335,0.3579870912825566,-0.0012248316779732704
813,2048,0.7123992455615548,1667072,1.2032358646392822,0.0,74,1593.7708740234375,0.3633374551709195,0.3645406911082019,-0.001203235937282443
824,2048,0.7439046308298328,1689600,1.1818599700927734,0.0,75,1611.2113037109375,0.3226528796515073,0.3238347396402265,-0.001181859988719225
835,2048,0.7567856150749006,1712128,1.1604928970336914,0.0,76,1628.405517578125,0.3046017681605431,0.30576226116467886,-0.0011604930041357875
846,2048,0.7588386709518955,1734656,1.1390211582183838,0.0,77,1645.1427001953125,0.3024212344795177,0.3035602557252804,-0.0011390212457627058
857,2048,0.7805159714865586,1757184,1.1176000833511353,0.0,78,1661.9000244140625,0.2720408149754435,0.27315841510349814,-0.0011176001280546188
868,2048,0.8157806929009395,1779712,1.096113920211792,0.0,79,1682.6092529296875,0.22651266188072391,0.22760877581490555,-0.0010961139341816306
879,2048,0.828447864232601,1802240,1.074496865272522,0.0,80,1702.0953369140625,0.21309949534555678,0.2141739922350437,-0.001074496889486909
890,2048,0.8510528542189708,1824768,1.052768349647522,0.0,81,1719.16796875,0.18368123131232433,0.18473399974765353,-0.0010527684353291988
901,2048,0.8606425179360004,1847296,1.0309927463531494,0.0,82,1734.8414306640625,0.17898358673193138,0.18001457956489753,-0.0010309928329661489
912,2048,0.8720354015403234,1869824,1.0092684030532837,0.0,83,1751.0928955078125,0.16186588705513055,0.16287515550847526,-0.0010092684533447027
923,2048,0.9063775430295269,1892352,0.9877434968948364,0.0,84,1767.91552734375,0.11472486815135718,0.11571261164452673,-0.0009877434931695461
934,2048,0.9172500720444323,1914880,0.9661797285079956,0.0,85,1784.4825439453125,0.11639941013603651,0.11736558990272873,-0.0009661797666922212
945,2048,0.9441283448725037,1937408,0.9445589780807495,0.0,86,1800.8111572265625,0.08195274040040793,0.08289729939711513,-0.000944558996707201
956,2048,0.9727011396047763,1959936,0.9228546619415283,0.0,87,1816.3592529296875,0.05207198741000996,0.05299484210873873,-0.00092285469872877
967,2048,0.9562796758452372,1982464,0.9011550545692444,0.0,88,1832.1021728515625,0.06829523506671471,0.06919639018228559,-0.000901155115570873
978,2048,0.98249684865393,2004992,0.8797303438186646,0.0,89,1848.709228515625,0.04226023528544402,0.04313996567443183,-0.0008797303889878094
989,2048,1.032540472183316,2027520,0.858417809009552,0.0,90,1864.3685302734375,-0.008950444334109813,-0.008092026505542487,-0.0008584178285673261
1000,2048,1.053693462384488,2050048,0.8368384838104248,0.0,91,1879.8421630859375,-0.023750110327033523,-0.022913271824596647,-0.0008368385024368763
1011,2048,1.0753730299783941,2072576,0.8151124715805054,0.0,92,1895.219970703125,-0.047382250849038667,-0.04656713835603774,-0.0008151124930009246
1022,2048,1.1043840237953382,2095104,0.7933719158172607,0.0,93,1909.9554443359375,-0.07564528371520726,-0.07485191178355752,-0.0007933719316497445
