bc/samples_so_far,bc/l2_loss,bc/ent_loss,bc/l2_norm,bc/prob_true_act,bc/epoch,bc/loss,bc/batch,bc/neglogp,batch_size,bc/entropy
2363392,0.0,-0.001980374101549387,215.79986572265625,0.19387507438659668,48,1.7239340543746948,576,1.725914478302002,4096,1.9803739786148071
2461696,0.0,-0.0019600149244070053,215.79513549804688,0.19500839710235596,50,1.718083143234253,600,1.7200431823730469,4096,1.9600149393081665
2560000,0.0,-0.0019405399216338992,215.79315185546875,0.19607381522655487,52,1.7152926921844482,624,1.7172331809997559,4096,1.940539836883545
2658304,0.0,-0.0019220201065763831,215.77149963378906,0.19854497909545898,54,1.7054194211959839,648,1.7073414325714111,4096,1.9220199584960938
2756608,0.0,-0.0019044345244765282,215.76058959960938,0.19771729409694672,56,1.7113893032073975,672,1.7132937908172607,4096,1.9044344425201416
2854912,0.0,-0.0018875314854085445,215.78207397460938,0.20261366665363312,58,1.6846712827682495,696,1.6865588426589966,4096,1.8875313997268677
2953216,0.0,-0.0018713923636823893,215.81109619140625,0.20616838335990906,60,1.6719812154769897,720,1.673852562904358,4096,1.8713922500610352
3051520,0.0,-0.001856008660979569,215.8234405517578,0.207051619887352,62,1.6681662797927856,744,1.6700222492218018,4096,1.856008529663086
3149824,0.0,-0.001841444056481123,215.84165954589844,0.20357373356819153,64,1.6847575902938843,768,1.6865990161895752,4096,1.8414440155029297
3248128,0.0,-0.001827527186833322,215.81747436523438,0.20624157786369324,66,1.675685167312622,792,1.6775126457214355,4096,1.8275270462036133
3346432,0.0,-0.0018141514156013727,215.8211669921875,0.208353653550148,68,1.667762041091919,816,1.6695761680603027,4096,1.8141512870788574
3444736,0.0,-0.0018015459645539522,215.8343963623047,0.2077159583568573,70,1.670036792755127,840,1.6718382835388184,4096,1.8015458583831787
3543040,0.0,-0.0017895677592605352,215.8302001953125,0.20832203328609467,72,1.6657201051712036,864,1.66750967502594,4096,1.7895677089691162
3641344,0.0,-0.0017781828064471483,215.86228942871094,0.21005019545555115,74,1.6568313837051392,888,1.6586095094680786,4096,1.7781827449798584
3739648,0.0,-0.0017675235867500305,215.8243865966797,0.21334624290466309,76,1.6478945016860962,912,1.6496620178222656,4096,1.7675235271453857
3837952,0.0,-0.0017574328230693936,215.8370361328125,0.21559953689575195,78,1.639460802078247,936,1.6412181854248047,4096,1.7574326992034912
3936256,0.0,-0.0017479436937719584,215.8612823486328,0.2133665680885315,80,1.6475698947906494,960,1.6493178606033325,4096,1.747943639755249
4034560,0.0,-0.0017390407156199217,215.88108825683594,0.21337652206420898,82,1.646130919456482,984,1.6478699445724487,4096,1.7390406131744385
4132864,0.0,-0.0017304600914940238,215.86538696289062,0.21714571118354797,84,1.634889841079712,1008,1.636620283126831,4096,1.7304600477218628
4231168,0.0,-0.0017226922791451216,215.89715576171875,0.21259689331054688,86,1.6520774364471436,1032,1.653800129890442,4096,1.7226922512054443
4329472,0.0,-0.0017153597436845303,215.8996124267578,0.21599262952804565,88,1.6404621601104736,1056,1.6421774625778198,4096,1.7153596878051758
