bc/samples_so_far,bc/entropy,bc/epoch,bc/prob_true_act,bc/l2_norm,bc/loss,bc/batch,bc/neglogp,bc/l2_loss,batch_size,bc/ent_loss
2088960,0.8070001602172852,102,1.06776303558051,1565.1915283203125,-0.04092254023639444,1019,-0.0401155400286797,0.0,2048,-0.0008070002077147365
2109440,0.7871007919311523,103,1.0997019822487124,1574.1954345703125,-0.0738833370609423,1029,-0.07309623624805639,0.0,2048,-0.0007871008128859103
2129920,0.7671895027160645,104,1.102834305908961,1582.3795166015625,-0.07659428824087862,1039,-0.07582709869718436,0.0,2048,-0.0007671895436942577
2150400,0.7473750114440918,105,1.1163726865540777,1591.2845458984375,-0.08837731928834869,1049,-0.08762994421450598,0.0,2048,-0.0007473750738427043
2170880,0.7277367115020752,106,1.1420109906312315,1600.1888427734375,-0.11136834889692462,1059,-0.11064061215655155,0.0,2048,-0.000727736740373075
2191360,0.7080948352813721,107,1.170508327839104,1608.3121337890625,-0.137059804654236,1069,-0.13635170979799988,0.0,2048,-0.00070809485623613
2211840,0.688448429107666,108,1.1067502165833014,1616.91650390625,-0.07175818901034849,1079,-0.07106974052023919,0.0,2048,-0.0006884484901092947
2232320,0.6702711582183838,109,1.0657387645556582,1628.206298828125,-0.023638188897024123,1089,-0.02296791772809553,0.0,2048,-0.0006702711689285934
2252800,0.6532886028289795,110,1.1604289313240703,1640.381591796875,-0.1048770976646778,1099,-0.104223809046482,0.0,2048,-0.000653288618195802
2273280,0.6356382369995117,111,1.2416524245450868,1651.2242431640625,-0.18969054674311808,1109,-0.18905490849214873,0.0,2048,-0.0006356382509693503
2293760,0.6169244050979614,112,1.2890361307280025,1660.33203125,-0.22485445114932995,1119,-0.22423752671955194,0.0,2048,-0.0006169244297780097
2314240,0.5976067781448364,113,1.3177273539007586,1668.2838134765625,-0.2522948635600049,1129,-0.2516972567394849,0.0,2048,-0.0005976068205200136
2334720,0.578087568283081,114,1.3473757738754815,1675.3150634765625,-0.27093237999586617,1139,-0.27035429241594156,0.0,2048,-0.0005780875799246132
2355200,0.5582774877548218,115,1.3872868805741394,1681.92041015625,-0.29917146607438566,1149,-0.29861318854053037,0.0,2048,-0.0005582775338552892
2375680,0.5382329225540161,116,1.4209923072366109,1688.1151123046875,-0.3353497310969765,1159,-0.3348114981278564,0.0,2048,-0.0005382329691201448
